working_set_bytes,working_set_kb,working_set_label,stride_elems,stride_bytes,ns_per_access
32768,32,32 KB,1,8,0.5711
32768,32,32 KB,2,16,0.5738
32768,32,32 KB,4,32,0.5807
32768,32,32 KB,8,64,0.5945
32768,32,32 KB,16,128,0.6235
32768,32,32 KB,32,256,0.6677
32768,32,32 KB,64,512,0.5391
32768,32,32 KB,128,1024,0.4476
32768,32,32 KB,256,2048,0.4642
32768,32,32 KB,512,4096,0.4184
262144,256,256 KB,1,8,0.5682
262144,256,256 KB,2,16,0.5686
262144,256,256 KB,4,32,0.5795
262144,256,256 KB,8,64,0.5695
262144,256,256 KB,16,128,0.7033
262144,256,256 KB,32,256,0.8474
262144,256,256 KB,64,512,0.8504
262144,256,256 KB,128,1024,0.8574
262144,256,256 KB,256,2048,0.8695
262144,256,256 KB,512,4096,0.8196
4194304,4096,4 MB,1,8,0.569
4194304,4096,4 MB,2,16,0.698
4194304,4096,4 MB,4,32,1.0884
4194304,4096,4 MB,8,64,1.8316
4194304,4096,4 MB,16,128,2.7912
4194304,4096,4 MB,32,256,3.7172
4194304,4096,4 MB,64,512,4.0623
4194304,4096,4 MB,128,1024,4.4824
4194304,4096,4 MB,256,2048,6.8018
4194304,4096,4 MB,512,4096,10.546
67108864,65536,64 MB,1,8,0.7136
67108864,65536,64 MB,2,16,1.0769
67108864,65536,64 MB,4,32,2.253
67108864,65536,64 MB,8,64,4.3371
67108864,65536,64 MB,16,128,7.921
67108864,65536,64 MB,32,256,10.0704
67108864,65536,64 MB,64,512,10.933
67108864,65536,64 MB,128,1024,12.0638
67108864,65536,64 MB,256,2048,18.7113
67108864,65536,64 MB,512,4096,29.8902
